No,Name,Plant crops,Type,Ingredients,Target Diseases/Nutrient, Usage Instruction,Description
1,Michelle 62EC,Lúa​ (gieo sạ),Thuốc trừ cỏ tiền nảy mầm,Butachlor 620g/lít,"Cỏ lồng vực,cỏ đuôi phụng, cỏ lá rộng, cỏ cháo, cỏ chác","Liều dùng 0.8 - 1.2L/ ha (thường 1.2L/ha)
Lượng nước phun 300 - 400L/ha. Phun thuốc khi nền đất đủ ẩm
Phun 1–4 ngày sau sạ khi nền đất đủ ẩm; giữ nước 5–7 ngày sau sạ và tiếp tục giữ nước, tránh để ruộng khô nứt nẻ.","Michelle 62EC là thuốc trừ cỏ tiền nẩy mầm cho lúa, Diệt tất cả các loại cỏ và lúa cơi trên ruộng lúa. Thuốc được hấp thu dễ dàng qua tất cả các bộ phận của cây cỏ như rễ cỏ và mầm cỏ
Quy cách đóng gói: 1.2 Lít, 1 Lít, 500ml, 100ml
Phù hợp cho phun máy bay không người lái (drone)"
2,Atas 500EC,"Bắp, mía, đậu phộng, khoai mì (sắn)",Thuốc trừ cỏ,Acetochlor 500g/l,Cỏ lá rộng và cỏ lá hẹp.,"Liều lượng: 0.8 – 1.0 lít/ha.
Cách dùng: Pha 50ml thuốc cho bình 16 – 20 lít.
Thời điểm phun: phun thuốc từ 0 - 3 ngày sau khi gieo hạt và phun trong điều kiện đất ẩm. Lượng nước phun 400 lít/ha","Atas 500EC là thuốc trừ cỏ diệt mầm có tác dụng đặc trị các loại cỏ lá rộng và lá hẹp trên nhiều loại cây trồng như bắp, mía, đậu phộng, khoai mì (sắn) giúp kiểm soát cỏ dại hiệu quả ngay từ đầu vụ, an toàn cho cây trồng và tiết kiệm công lao động
Quy cách đóng gói: 500ml, 450ml, 100ml, 50ml
Phù hợp cho phun máy bay không người lái (drone)"
3,Nominee 10SC,Lúa,Thuốc trừ cỏ hậu nảy mầm,Thành phần: Bispyribac sodium 100g/l,"Cỏ hậu nảy mầm trên ruộng lúa, diệt các loại cỏ hòa bản, cỏ lác, cỏ lá rộng phổ biến như cỏ đuôi phụng, lồng vực, cháo, chác, u du, rau mác, rau bợ","Liều dùng: 0.2 - 0.3 lít/ha
Pha 10 - 15ml cho bình 16 lít. Phun 2 bình 16 lít cho một công (1000m2).
Phun 10ml Nominee và 10ml chất phụ trợ trong bình phun 16 lít. Phun trong điều kiện đất ẩm, cỏ không bị ngập nước và phun trải đều để thuốc tiếp xúc tốt với lá cỏ.
Phun sau sạ 7 - 20 ngày ( 2- 5 lá cỏ).
Cho nước vào ruộng từ 1 - 2 ngày sau phun và giữ nước trong vòng 5 - 7 ngày.","Nominee 10SC chủ yếu dùng để trừ cỏ hậu nảy mầm trên ruộng lúa, diệt các loại cỏ hòa bản, cỏ lác, cỏ lá rộng phổ biến như cỏ đuôi phụng, lồng vực, cháo, chác, u du, rau mác, rau bợ
Quy cách đóng gói: 100ml, 50ml, 20ml, 10ml"
4,Nominee 10OF,Lúa,Thuốc trừ cỏ hậu nảy mầm,Bispyribac sodium 100g/l,"Cỏ hòa bản, cỏ lác và cỏ lá rộng","Liều dùng: 0.2 - 0.3 lít/ha
Pha 10 - 15ml cho bình 16 lít. Phun 2 bình 16 lít cho một công (1000m2).
Phun trong điều kiện đất ẩm, cỏ không bị ngập nước và phun trải đều để thuốc tiếp xúc tốt với lá cỏ. Cho nước vào ruộng từ 1 - 2 ngày sau phun và giữ nước trong vòng 5 - 7 ngày.
Phun sau sạ 7 - 20 ngày ( 2- 5 lá cỏ).","Nominee 10OF có tác dụng hậu nảy mầm, diệt trừ các loại cỏ hòa bản, cỏ lác và cỏ lá rộng.
Quy cách đóng gói: 100ml"
5,MAZDA 200SL ,Cà phê,Thuốc trừ cỏ,Glufosinate ammonium 200g/l,"Cỏ dại, cỏ không chọn lọc, cỏ dại khó trị như cỏ chỉ, cỏ mần trầu, cỏ tranh, cỏ ống, cỏ cú, cỏ lá rộng và cỏ lá hẹp","Liều lượng: 2.5 kg/ha 
Cách dùng: Pha 400 - 450ml/ 100 lít nước hoặc 120 - 125ml/ 25 lít nước, phun 500- 600 lít nước/ha.
Thời điểm phun: Phun thuốc khi cỏ đang xanh tốt, không phun thuốc lên phần xanh của cây trồng như lá, mô non. Không phun lên cỏ sinh trưởng kém, trong điều kiện khô hạn hay ngập úng.","Sản phẩm MAZDA 200SL là thuốc diệt cỏ không chọn lọc, thế hệ mới, có công dụng diệt trừ hiệu quả các loại cỏ dại khó trị như cỏ chỉ, cỏ mần trầu, cỏ tranh, cỏ ống, cỏ cú, cỏ lá rộng và cỏ lá hẹp, giúp tăng năng suất cây trồng thông qua việc kiểm soát cỏ dại một cách nhanh chóng và an toàn cho môi trường nhờ hoạt chất Glufosinate-ammonium có khả năng phân hủy trong đất
Quy cách đóng gói: 4 lít, 900ml, 450ml, 90ml"
6,Opal 50WG,Bắp (ngô),Thuốc trừ sâu,Pymetrozine 40% + Dinotefuran 10%,Rệp muội,"Liều lượng: 0.30 kg/ha (20–25 g/bình 25 L) 
Cách dùng: Pha 10-15g thuốc cho bình 16 lít, phun 500-600 lít nước/ha
Thời điểm phun: Tùy theo thời gian sinh trưởng cây ngô (bắp). Phun lặp lại lần hai nếu áp lực rệp muội cao. Ngưng phun thuốc trước khi thu hoạch 10 ngày","Opal 50WG là sự cộng hưởng hữu hiệu của hai hoạt chất, có tác dụng tiếp xúc, vị độc và lưu dẫn mạnh nên đặc trị rệp muội hại ngô (bắp).
Quy cách đóng gói: 100g, 25g, 15g"
7,Solo 350SC,"Lúa, Lạc, Đậu xanh",Thuốc trừ sâu,Chlorfenapyr 350g/l,"Lúa: Sâu cuốn lá
Lạc: Sâu xanh da láng
Đậu xanh: Sâu xanh da láng","Lúa: 0.25 - 0.3 lít/ha.
Lạc: 0.3 lít/ha.
Đậu xanh: 0.3 lít/ha.
Cách dùng: Pha 20ml thuốc cho bình 25 lít, phun 400 lít nước/ha. 
Thời điểm phun: Phun khi bướm ra rộ hoặc sâu tuổi 1 - 2. Trong trường hợp mật số sâu cao hoặc gối lửa cần phải phun lặp lại 5 - 7 ngày sau. Ngưng phun thuốc trước khi thu hoạch 14 ngày.","Solo 350SC là thuốc trừ sâu chứa hoạt chất Chlorfenapyr có chất lượng cao chuyên được sử dụng để quản lý sâu cuốn lá, sâu xanh da láng,… diệt sâu tận ổ.
Quy cách đóng gói: 100ml, 30ml, 20ml, 15ml, 10ml"
8,Xantocin 40WP,"Lúa, Hồ tiêu",Thuốc trừ bệnh,Bronopol 400g/kg,"Lúa: Cháy bìa lá (bạc hà), thối gốc do vi khuẩn.
Hồ tiêu: Bệnh chết chậm","Lúa:  Liều lượng: 0.2 - 0.25 kg/ha. Cách dùng: Pha 18 - 20g thuốc cho bình 25 lít, phun 300- 400 lít nước/ha. Thời điểm phun: Phun phòng ngừa hoặc khi bệnh chớm xuất hiện.
Hồ tiêu: Liều lượng: 0.05% kg/ha .Cách dùng: Pha 50g/100 lít nước cho bình 25 lít, phun 300 - 400 lít nước/ha .Thời điểm phun: Tưới đều quanh gốc khi bệnh chớm xuất hiện 4 - 5 lít/gốc.
Khi áp lực bệnh cao nên phun lần 2 cách nhau 5 - 7 ngày.  Ngưng phun thuốc trước khi thu hoạch 1 ngày.","Xantocin 40WP là thuốc thế hệ mới hấp thu nhanh qua lá và rễ. Tác động vừa diệt vi khuẩn vừa kích hoạt tinh đề kháng cho cây trồng. Đặc trị bệnh cháy bìa lá (bạc lá), thối gốc lúa do vi khuẩn và bệnh chết chậm hồ tiêu.
Quy cách đóng gói: 100g, 18g, 10g"
9,Combo 600WG,Ớt,Thuốc trừ bệnh,Pyraclostrobin 5% + Metiram 55%,Thán thư,"Liều lượng: 1.5 kg/ha 
Cách dùng: Pha 60 - 75g thuốc cho bình 25 lít, phun 500- 600 lít nước/ha
Thời điểm phun: Phun phòng ngừa hoặc khi bệnh chớm xuất hiện hoặc tỉ lệ bệnh 5%. Phun ước đều tán cây trồng, nếu áp lực bệnh cao nên phun lần 2 cách nhau 5 - 7 ngày.
Combo 600WG có thể phối hợp phun với thuốc trừ sâu, trừ bệnh khác ngoại trừ thuốc tính kiềm
Ngưng phun thuốc trước khi thu hoạch 7 ngày.","Combo 600WG là thuốc trừ bệnh thế hệ mới, hiệu lực cao, chặn đứng nhanh bệnh thán thư hại ớt và kéo dài hiệu lực phòng ngừa. Cây trồng phục hồi và sinh trưởng khỏe.
Quy cách đóng gói: 500g, 100g"
10,Champion 57.6 DP,"Cà chua, Nho, Cà phê, Cây có múi, Xoài, Cao su, Bắp cải, Lúa",Thuốc trừ bệnh,Copper hydroxide 57.6 %,"Rụng quả, bệnh gốc đồng.
Các loại nấm và vi khuẩn gây hại:
cà chua (mốc sương), nho (phấn trắng), cây có múi (sẹo, chảy mủ), xoài (thán thư, chảy mủ), cà phê (tảo đỏ, nấm hồng), cao su (nấm hồng), bắp cải (thối nhũn) và lúa (cháy bìa lá)"," Liều lượng: 0.15% kg/ha 
 Cách dùng: Pha 150 g cho 100 lít nước, phun 600- 1000 lít nước/ha.
 Thời điểm phun: Phun ướt đều cây trồng khi tỷ lệ bệnh khoảng 3 - 7%. Nếu áp lực bệnh cao nên phun 2 lần cách nhau 5 - 7 ngày.
 Ngưng phung thuốc trước khi thu hoạch 7 ngày.","Sản phẩm Champion 57.6 DP là thuốc trừ bệnh gốc đồng, công dụng chính là phòng ngừa và đặc trị các loại nấm và vi khuẩn gây hại trên nhiều loại cây trồng như cà chua (mốc sương), nho (phấn trắng), cây có múi (sẹo, chảy mủ), xoài (thán thư, chảy mủ), cà phê (tảo đỏ, nấm hồng), cao su (nấm hồng), bắp cải (thối nhũn) và lúa (cháy bìa lá).
Quy cách đóng gói: 300g, 60g"
11,Amifol K ,Rau màu,Phân bón lá - Kali,"Kali hữu hiệu (K2Ohh): 31% + Axit amin: 5%l pHH2O: 12; Tỷ trọng: 1,4","Giúp cây hấp thụ nhanh, chuyển hóa mạnh, cho năng suất vượt trội","Pha 50 - 60ml cho bình 16 lít hoặc pha 75 - 90ml cho bình 25 lít.
Phun định kỳ vào các giai đoạn 7, 14 và 21 ngày
Phun 360 lít/ha
Phương thức sử dụng: bón lá.
Amifol K có thể hỗn hợp với thuốc trừ sâu, trừ bệnh và phân bón lá khác.","Amifol K là nguồn dinh dưỡng vô cùng cần thiết cho năng suất và chất lượng nông sản, chứa hỗn hợp hoạt chất tiên tiến chứ L - Amino acids tự do và Kali chất lượng cao, giúp cây hấp thụ nhanh, chuyển hóa mạnh, cho năng suất vượt trội.
Quy cách đóng gói: 200ml"
12,Delfan Plus,"Cà phê, Tiêu, Cây ăn quả, Lúa, Hoa, Rau màu",Phân bón,"Amino Acid 24,3%; Hữu cơ 37%; Đạm hữu hiệu 9%","Phục hồi cây sau thu hoạch, chống chịu tốt. Kích thích sinh trưởng bật chồi, ra đọt non, xanh lá và giúp lá đòng to khỏe (đối với cây lúa). Nuôi hoa và trái, kích thích mầm hoa, tăng tỷ lệ đậu trái, chống rụng hoa/trái non; giúp trái lớn nhanh, hạt to chắc","Cà phê, tiêu, Cây ăn quả: Liều dùng: 250ml cho bình 200 lít. Phun 500 - 1000 lít/ha, nên phun ướt đều tán cây. Phun vào giai đoạn sau khi thu hoạch, cắt cành tạo tán. Trước khi ra hoa, đậu trái và nuôi trái.
Lúa: Liều dùng: 20 - 25ml cho bình 25 lít. Phun 400 - 600 lít/ha, nên phun ướt đều tán cây. Phun vào giai đoạn lúa từ đẻ nhánh đến làm đồng, 7 - 10 ngày trước và sau khi trổ đều.
Hoa, rau màu: Liều dùng: 20 - 25ml cho bình 25 lít. Phun 400 - 600 lít/ha, nên phun ướt đều tán cây. Phun định kỳ cách nhau 7 - 10 ngày/lần.","Delfan Plus là sản phẩm phân bón lá dạng nước đậm đặc, hấp thụ nhanh qua lá và rễ.
Quy cách đóng gói: 500ml, 250ml, 100ml"
13,Delfan Plus - Nuôi hoa,"Cà phê, Hồ tiêu, Cây ăn trái (Sầu Riêng, Cây có Múi,…)",Phân bón,"Amino Acid 24,3%; Hữu cơ 37%; Đạm hữu hiệu 9%","Kích thích mầm hoa, phân hóa mầm hoa mạnh mẽ, ra hoa đều và tập trung. Tăng cường sức sống hạt phấn giúp hoa mập, cuống hoa dai, hạn chế tối đa tình trạng rụng hoa sinh lý. Hấp thụ tức thì: không cần qua quá trình quang hợp, giúp cây tiết kiệm năng lượng. Chống sốc sinh lý: Giúp cây phục hồi nhanh, tăng sức đề kháng trước các điều kiện khắc nghiệt","Cà phê, Hồ tiêu: Liều dùng: 250ml cho bình 200 lít . Phun 500 - 1000 lít/ha, nên phun ướt đều tán cây. Phun thường xuyên ở giai đoạn kiến thiết cơ bản. Đặc biệt phun trước khi ra hoa, đậu trái và cả giai đoạn mang trái.
Cây ăn trái (Sầu Riêng, Cây có Múi,…): Liều dùng: 250ml cho bình 200 lít . Phun 500 - 1000 lít/ha, nên phun ướt đều tán cây. Phun thường xuyên ở giai đoạn kiến thiết cơ bản. Đặc biệt phun trước khi ra hoa, đậu trái và cả giai đoạn mang trái.","Delfan Plus - Nuôi hoa là sản phẩm phân bón lá dạng nước đậm đặc, hấp thụ nhanh qua lá và rễ.
Quy cách đóng gói: 500ml"
14,Delfan Plus - Bung đọt,"Cà phê, Hồ tiêu, Cây ăn trái (Sầu Riêng, Cây có Múi,…)",Phân bón,"Amino Acid 24,3%; Hữu cơ 37%; Đạm hữu hiệu 9%","Kích ra đọt non: Đánh thức mầm ngủ, kích thích ra chồi mới đồng loạt. Bung đọt nhanh: Giúp đọt vươn dài, mập chạp, lá xanh dày và mở to. Phục hồi cây: Giúp cây suy yếu sau thu hoạch tái tạo bộ lá nhanh chóng. Tăng trưởng mạnh: Cung cấp amino acid tức thì để cây phát triển sinh khối.","Cà phê, Hồ tiêu: Liều dùng: 250ml cho bình 200 lít . Phun 500 - 1000 lít/ha, nên phun ướt đều tán cây. Phun thường xuyên ở giai đoạn kiến thiết cơ bản. Đặc biệt phun giai đoạn sau thu hoạch, cắt tỉa cành, tạo tán.
Cây ăn trái (Sầu Riêng, Cây có Múi,…): Liều dùng: 250ml cho bình 200 lít . Phun 500 - 1000 lít/ha, nên phun ướt đều tán cây. Phun thường xuyên ở giai đoạn kiến thiết cơ bản. Đặc biệt phun giai đoạn sau thu hoạch, sau tỉa cành, trước khi ra đọt non, bung đọt.","Delfan Plus - Bung đọt là sản phẩm phân bón lá dạng nước đậm đặc, hấp thụ nhanh qua lá và rễ.
Quy cách đóng gói: 500ml"
15,Tora 1.1SL,Lúa,Thuốc kích thích sinh trưởng cây trồng,1-Triacontanol 1.1 g/l,"Thúc đẩy cây đẻ nhánh sớm, ra rễ mạnh, kích thích lúa trổ bông, trổ thoát đồng loạt. Giúp quá trình vô gạo diễn ra siêu tốc, hạt lúa chắc tới cậy, vàng sáng và nặng ký. 
Tăng sức chống sốc: tăng khả năng chống chịu thời tiết khắc nghiệt như sương muối, rét lạnh, nắng hạn hoặc ngập mặn","Liều dùng: 0.25 lít/ha
 Pha 1 gói cho bình 25 lít. 
 Cách dùng: 
 - Lần 1: 20 - 25 ngày sau sạ
 - Lần 2: Trước khi trổ (lẹt xẹt)
 - Lần 3: Khi trổ đều","Tora 1.1SL ""Tối Đa Năng Suất"" có nguồn gốc từ thiên nhiên, an toàn cho môi trường và sức khỏe nông dân, chứa hoạt tính kích thích sinh trưởng cực mạnh, giúp lúa trổ cực nhanh, vào gạo cực mạnh.
Quy cách đóng gói: 100ml, 25ml, 15ml"
16,Amistar Top® 325SC ,"Lúa​
Cà phê​
Cao su​
Hồ tiêu​
Hoa hồng​
Lạc​
Ngô​",Thuốc trừ bệnh,200g/L Azoxystrobin + 125g/L Difenoconazole,"Lúa​: Khô vằn​.
Cà phê​: Rỉ sắt, Thán thư.
Cao su​: Khô nứt vỏ. Phấn trắng​. Vàng lá​
Hồ tiêu​: Thán thư​
Hoa hồng​: Phấn trắng​
Lạc​: Chết cây con​
Ngô​: Đốm lá lớn​. Rỉ sắt​.","Lúa​: Khô vằn​: 0.25 - 0.3L/ha​. Phun thuốc vào thời điểm lúa làm đòng​. Cách ly 10 ngày. Lem lép hạt​: 0.35L/ha​. Phun thuốc vào lúc trước và sau khi lúa trổ​. Cách ly 10 ngày.
Cà phê​: Rỉ sắt​: 0.20%​. Phun ướt đều cây khi bệnh chớm xuất hiện.​ Cách ly 10 ngày. Thán thư​: 0.1 - 0.2%​. Phun ướt đều cây khi bệnh chớm xuất hiện. ​Cách ly 10 ngày.
Cao su​: Khô nứt vỏ​: 1.5 - 3.0%​. Phun ướt đều cây trồng khi tỷ lệ bệnh khoảng 4 - 6%​. Cách ly 10 ngày. Phấn trắng​: 0.05 - 0.1 %​. Phun ướt đều cây trồng khi tỷ lệ bệnh khoảng 5 - 10%​. Cách ly 10 ngày. Vàng lá​: 0.1 - 0.2%​. Phun ướt đều cây trồng khi tỷ lệ bệnh khoảng 5 - 10%​. Cách ly 10 ngày.
Hồ tiêu​: Thán thư​: 0.1%. Lượng nước 600 - 800L/ha. Phun thuốc khi tỷ lệ bệnh khoảng 5 - 10%​. Cách ly 10 ngày.
Hoa hồng​: Phấn trắng​: 0.35L/ha. Phun thuốc 2 lần. Lần 1 khi tỉ lệ bệnh 5%. Lần 2 sau lần 1 khoảng 5 - 7 ngày.​ Cách ly 10 ngày.
Lạc​: Chết cây con​: 0.3L/ha​. Phun thuốc 2 lần. Lần 1 khi tỉ lệ bệnh 5%. Lần 2 sau lần 1 khoảng 5 - 7 ngày.​ Cách ly 10 ngày.
Ngô​: Đốm lá lớn​: 0.25 - 0.5L/ha. Phun thuốc khi bệnh xuất hiện, tỷ lệ bệnh khoảng 5%​. Cách ly 10 ngày. Khô vằn​: 0.5L/ha​. Phun thuốc khi bệnh xuất hiện, tỷ lệ bệnh khoảng 5%​. Cách ly 10 ngày. Rỉ sắt​: 0.4 - 0.5L/ha​. Phun thuốc khi bệnh xuất hiện, tỷ lệ bệnh khoảng 5%​. Cách ly 10 ngày.","Amistar Top® 325SC là thuốc trừ bệnh nội hấp và lưu dẫn mạnh, được trang bị công nghệ Amistar® đã được chứng minh, có khả năng kiểm soát phổ rộng hiệu quả. 
Dạng thuốc: SC (Huyền Phù Đậm Đặc)
Quy cách đóng gói: 250ml, 100ml, 10ml
Phù hợp cho phun máy bay không người lái (drone)
