No,Name,Plant crops,Type,Ingredients,Target Diseases/Nutrient, Usage Instruction,Description
Công Nghệ:
- Sản phẩm thuốc trừ nấm bệnh tuyệt vời nhờ Công nghệ Amistar® đã được chứng minh.
- Amistar Top® 325SC nổi bật với cơ chế tác động kép, có khả năng thấm sâu, chuyển vị và lưu dẫn mạnh. Cho hiệu lực kéo dài, hạn chế mưa rửa trôi và có thể hoạt động tốt trong các nhiều điều kiện thời tiết.
- Amistar Top® 325SC là loại thuốc trừ nấm phổ rộng, có thể vừa phòng vừa trị nhiều loại bệnh khác nhau như rỉ sắt, thán thư,... trên các loại cây trồng như cà phê, cao su, hồ tiêu, hoa hồng, ..."
17,Anvil® 5SC,"Cà phê​
Cam​
Cao su​
Hoa hồng ​
Lạc​
Lúa​
Ngô​
Thuốc lá​
Thanh long​",Thuốc trừ bệnh,50g/L Hexaconazole,"Cà phê​: Đốm vòng​, Rỉ sắt, nấm hồng​
Cam​: Ghẻ sẹo
Cao su​: Nấm hồng​, Phấn trắng​, Vàng lá
Hoa hồng : Phấn trắng, rỉ sắt, đốm đen
Lạc​: Đốm lá​        
Lúa​: Lem lép hạt, khô vằn              
Ngô​: Khô vằn​              
Thuốc lá​: Lở cổ rễ​           
Thanh long​: Đốm nâu​        ","Cà phê​: Đốm vòng​: 0.25%. Lượng nước phun 600 - 800L/ha. Phun khi thấy 15% lá bị hại​. Cách ly 14 ngày. Rỉ sắt, nấm hồng​: 1.0 - 2.0L/ha​. Lượng nước phun 600 - 800L/ha. Phun khi thấy 15% lá bị hại​. Cách ly 14 ngày.
Cam​: Ghẻ sẹo​: 0.30%. Lượng nước phun 600 - 800L/ha. Phun thuốc khi tỷ lệ bệnh khoảng 5%​. Cách ly 7 ngày.
Cao su​: Nấm hồng​: 0.50%. Phun ướt đều cây trồng khi tỷ lệ bệnh hại khoảng 5 - 10%​. Cách ly 14 ngày. Phấn trắng​: 0.08% - 0.16%. Phun ướt đều cây trồng khi tỷ lệ bệnh hại khoảng 5 - 10%​. Cách ly 14 ngày. Vàng lá​: 0.2 - 0.6%. Phun ướt đều cây trồng khi tỷ lệ bệnh hại khoảng 5 - 10%​. Cách ly 14 ngày.
Hoa hồng : Phấn trắng, rỉ sắt, đốm đen​: 0.3 - 0.5L/ha. Lượng nước phun 320 - 600L/ha. Phun khi thấy bệnh xuất hiện​. Cách ly 14 ngày.
Lạc​: Đốm lá​: 1.0L/ha. Lượng nước 320 - 600L/ha. Phun khi thấy bệnh xuất hiện​. Cách ly 14 ngày.                
Lúa​: Lem lép hạt, khô vằn​: 1.0L/ha. Lượng nước 320 - 600L/ha. Phun khi thấy bệnh xuất hiện​. Cách ly 14 ngày.                
Ngô​: Khô vằn​: 1.0 - 1.5L/ha. Lượng nước 320 - 600L/ha. Phun khi thấy bệnh xuất hiện​. Cách ly 14 ngày.                
Thuốc lá​: Lở cổ rễ​: 0.5 - 1.0L/ha​. Lượng nước 320 - 600L/ha. Phun khi thấy bệnh xuất hiện​. Cách ly 14 ngày.                
Thanh long​: Đốm nâu​: 0.30%. Lượng nước 600 - 800L/ha. Phun thuốc khi tỷ lệ bệnh khoảng 5%​. Cách ly 7 ngày.     ","Anvil® 5SC là thuốc trừ bệnh phổ rộng, giải pháp số 01 giúp cây trồng xanh khỏe và sạch bệnh
Dạng thuốc: SC (Huyền Phù Đậm Đặc)
Quy cách đóng gói: 1L, 250ml, 100ml, 20ml
Phù hợp cho phun máy bay không người lái (drone)
Công Nghệ
- Anvil® 5SC là sản phẩm danh tiếng của Syngenta được hàng triệu nông dân Việt Nam tin dùng.
- Anvil® 5SC có phổ phòng trừ nấm bệnh rất rộng. Bên cạnh việc kiểm soát tốt bệnh lem lép hạt và đốm vằn trên lúa, sản phẩm còn kiểm soát tốt nhiều loại bệnh trên các loại cây trồng khác như gỉ sắt, nấm hồng, ... trên cà phê, thuốc lá, đậu phộng, ...
- Anvil® 5SC với dạng thành phẩm huyền phù đậm đặc SC giúp các hoạt chất thuốc hòa tan nhanh và phân bố đồng đều khi pha trong nước, mang lại nhiều ưu điểm nổi trội trong việc bao phủ trên bề mặt cây trồng và phát huy hiệu quả phòng trừ bệnh hại."
18,Nevo® 330EC,Lúa,Thuốc trừ bệnh,80g/L Cyproconazole + 250g/L Propiconazole,"Khô vằn​
Lem lép hạt​
Thối thân​","Khô vằn​: 0.3 - 0.5L/ha​. Lượng nước 400 - 500L/ha. Phun thuốc khi thấy bệnh xuất hiện​. Cách ly 15 ngày.
Lem lép hạt​: 0.25L/ha​. Lượng nước 400 - 500L/ha. Phun thuốc khi thời tiết thuận lợi cho bệnh phát triển​. Cách ly 15 ngày.
Thối thân​: 0.2 - 0.5L/ha​. Lượng nước 400 - 500L/ha. Phun thuốc khi bệnh xuất hiện​. Cách ly 15 ngày.","Nevo® 330EC là thuốc trừ bệnh lưu dẫn và nội hấp, tác động tiêu diệt nấm bệnh thông qua cơ chế ngăn cản sinh tổng hợp Ergosterol (chất cấu tạo nên màng tế bào nấm bệnh).
Dạng thuốc: EC (Dạng nhũ tương đậm đặc)
Dung tích: 250ml, 100ml, 10ml"
19,Revus Opti® 440SC,"Cà chua​
Dưa chuột​
Dưa hấu​
Hồ tiêu​
Khoai tây​
Xoài​",Thuốc trừ bệnh,40g/L Mandipropamid + 400g/L Chlorothalonil​,"Cà chua​: Sương mai​
Dưa chuột: Mốc sương​
Dưa hấu​: Nứt dây​
Hồ tiêu​: Thán thư​. Thối rễ​
Khoai tây: Mốc sương, đốm vòng​.
Xoài​: Thán thư​","Cà chua​: Sương mai​: 2.0 - 2.5L/ha​. Lượng nước 600 - 1000L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​.Cách ly 5 ngày.
Dưa chuột: Mốc sương​: 1.5 - 2.0L/ha​. Lượng nước 600 - 1000L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 1 ngày.
Dưa hấu​: Nứt dây​: 2.0L/ha​. Lượng nước 600 - 1000L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 1 ngày.
Hồ tiêu​: Thán thư​: 0.2 - 0.4%​. Phun ướt đều cây khi tỷ lệ bệnh khoảng 5 - 10%​. Cách ly 5 ngày. Thối rễ​: 0.2 - 0.4%​. Thuốc được tưới trực tiếp vào gốc 2 lần cách nhau 21 ngày, lần đầu khi bệnh xuất hiện​. Cách ly 5 ngày.
Khoai tây: Mốc sương, đốm vòng​: 2.0 - 2.5L/ha​. Lượng nước 400 - 500L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 5 ngày.
Xoài​: Thán thư​: 0.2 - 0.4%​. Lượng nước 600 - 1000L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 5 ngày.","Revus Opti® 440SC là thuốc trừ bệnh phổ rộng, tác động trừ nấm bệnh thông qua 2 cơ chế độc đáo, giúp thuốc chống khả năng rửa trôi và kiểm soát nấm bệnh với hiệu lực kéo dài.
Dạng thuốc: SC (Huyền Phù Đậm Đặc)​​
Quy cách đóng gói: 500ml, 100ml
Công Nghệ
Revus Opti® 440SC là thuốc trừ bệnh phổ rộng, tác động trừ nấm bệnh thông qua 2 cơ chế độc đáo:
Ngăn cản quá trình sinh tổng hợp PHOSPHOLIPID là chất cần thiết cho quá trình hình thành ống mầm và phát triển hệ sợi nấm.
Tác động lên hệ men tham gia tiến trình trao đổi chất ở nấm nhằm ngăn cản sự nảy mầm của bào tử và gây hại cho màng tế bào nấm bệnh.
Bào tử nhiễm thuốc không nảy mầm, mọc khuẩn ty và bị khô chết trên bề mặt lá.
Lok & Flo
Cơ chế Lok & Flo giúp thuốc bám chặt và thấm sâu tránh bị nước mưa rửa trôi.​
Đặc trị nấm bệnh trên nhiều loại cây trồng, đặc biệt là bệnh Phytophthora và các bệnh gây ra bởi nhóm Oomycetes​
Bảo vệ cây sạch bệnh giúp cây xanh mướt quang hợp mạnh năng suất cao.        "
20,Ridomil Gold® 68WG,"Cao su​
Điều​
Hồ tiêu​
Ca cao​
Lạc​
Ngô​
Thuốc lá​",Thuốc trừ bệnh,40g/L Metalaxyl-M (Mefenoxam) + 640g/L Mancozeb,"Cao su​: Loét sọc mặt cạo
Điều​: Thán thư​
Hồ tiêu​: Chết nhanh​
Ca cao​: Sương mai​
Lạc​: Chết cây con​
Ngô​: Đốm lá​
Thuốc lá​: Chết cây con","Cao su​: Loét sọc mặt cạo​: 0.30%. Cạo sọc vết cắt, quét dung dịch lên mặt cạo​. Cách ly 14 ngày.	
Điều​: Thán thư​: 0.5 - 0.6%. Lượng nước 600 - 1000L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 14 ngày.	
Hồ tiêu​: Chết nhanh​: 0.30%. Lượng nước 600 - 1000L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 14 ngày.	
Ca cao​: Sương mai​: 0.4 - 0.75%. Lượng nước 600 - 1000L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 14 ngày.	
Lạc​: Chết cây con​: 3kg/ha. Lượng nước 400 - 500L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 14 ngày.	
Ngô​: Đốm lá​: 2.0 - 3.0kg/ha​. Lượng nước 400 - 500L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 14 ngày.	
Thuốc lá​: Chết cây con​: 1.25 - 2.25kg/ha​. Lượng nước 400 - 500L/ha. Phun thuốc khi tỷ lệ bệnh xuất hiện​. Cách ly 14 ngày.	","Ridomil Gold® 68WG là thuốc trừ bệnh phổ rộng, đặc trị nhiều nấm bệnh khó trị trên đa dạng cây trồng.
Dạng thuốc: WG (Dạng cốm)
Dung tích: 1kg, 100g
Công Nghệ			
Ridomil Gold® 68WG là sản phẩm thuốc trừ bệnh giúp bảo vệ cây trồng một cách linh hoạt, toàn diện bằng hai cơ chế tác động độc đáo.
Ức chế hoạt động Enzyme xúc tác tạo ra năng lượng ATP của tế bào nấm bệnh​			
Ngăn cản sự tổng hợp RNA trong tế bào nấm bệnh
Thuốc tiếp xúc và thấm sâu nhanh, lưu dẫn mạnh, mang lại hiệu quả phòng trừ cao giúp bảo vệ cây trồng một cách toàn diện​.
Sử dụng linh hoạt bằng nhiều biện pháp xử lý như phun, tưới gốc, quét trực tiếp lên vết bệnh, …"
21,BLASTOGAN® 75WP,Lúa,Thuốc trừ bệnh,750g/kg Tricyclazole,Đặc trị và kiểm soát hiệu quả bệnh đạo ôn lá (cháy lá) và đạo ôn cổ bông trên cây lúa.,"Đạo ôn lá (Cháy lá): Liều lượng khuyến cáo 250 – 400 g/ha (Hoặc khoảng 25 g/công 1000 m²);Phun khi vết bệnh chớm xuất hiện, tỷ lệ bệnh khoảng 5-10%.
Đạo ôn cổ bông: Liều lượng khuyến cáo 300 – 400 g/ha (Hoặc khoảng 30 – 40 g/công 1000 m²); Phun lần 1 vào cuối giai đoạn làm đòng (trước khi lúa trổ). Nếu áp lực bệnh cao, phun thêm lần 2 sau khi lúa trổ để đạt hiệu quả tối đa.","BLASTOGAN® 75WP - Đặc trị và kiểm soát hiệu quả bệnh đạo ôn lá (cháy lá) và đạo ôn cổ bông trên cây lúa.
Dạng thuốc: WP (dạng bột mịn)
Quy cách đóng gói: 75g
Hiệu quả vượt trội trong phòng trừ đạo ôn:
Hiệu quả cao, làm khô nhanh vết bệnh.
Giúp xanh lá và xanh gié.
An toàn cho lúa.
Bảo vệ năng suất tối ưu."
22,Incipio® 100DC,Bắp cải,Thuốc trừ sâu,Isocycloseram 100g/L,Sâu tơ,"Sâu tơ: 20ml/bình 20L. Phun khi sâu mới xuất hiện tuổi 1-2, Mật độ khoảng 3-4 con/cây","Incipio® 100DC được chế tạo từ công nghệ PLINAZOLIN® – công nghệ hoạt chất tiên tiến nhất hiện nay. Incipio® 100DC là sản phẩm đầu tiên của Syngenta sở hữu dạng thành phẩm DC, có khả năng quản lý nhiều loại sâu hại trên nhiều loại cây trồng khác nhau.
Quy cách đóng gói: 40ml
Cơ chế tác động
PLINAZOLIN® thuộc nhóm 30 (cơ chế tác động đột phá), tấn công vào kênh tiếp nhận GABA tại vị trí mới trong hệ thần kinh, làm cơ của côn trùng co giật liên hồi, khiến côn trùng bại liệt rồi chết
Ưu thế vượt trội
Cơ chế tác động đột phá
DC – Công nghệ thành phẩm ưu việt
Công phá tính kháng trên nhiều loại sâu hại khó trừ
Chống rửa trôi hiệu quả
Hiệu quả cao, kéo dài, giảm số lần phun thuốc
Mang lại hiệu ứng cây khỏe và sự an toàn"
23,Karate 2.5EC,"Lúa, lạc, đậu tương, cây điều",Thuốc trừ sâu,Lambda-cyhalothrin,"Sâu cuốn lá, sâu cuốn lá, bọ trĩ, bọ xít, rầy nâu, sâu phao..",,"Sản phẩm có phổ phòng trừ rộng, chuyên trị chích hút và miệng nhai như sâu cuốn lá lúa, sâu phao, rầy nâu, sâu ăn lá, sâu xanh, sâu xanh da láng, sâu tơ, bọ trĩ, bọ xít, bọ xit muỗi…
Quy cách đóng gói: 250ml, 100ml
Ưu thế vượt trội
Phổ tác động rộng trên nhiều đối tượng cây trồng.
Hiệu quả tức thì – Giảm thiểu thiệt hại cho cây trồng.
Thấm sâu và được giữ lại giữa lớp sáp của cây trồng.
Chống rữa trôi hiệu quả.
Dễ dàng phối trộn.
Ít lần phun hơn, kinh tế hơn."
24,Pexena® 20WG (Pexena Cốm),Lúa,Thuốc trừ sâu,20%​ Triflumezopyrim,Rầy nâu​,Liều lượng khuyến cáo: 125g/ha,"Pexena® 20WG (Pexena Cốm) sở hữu công nghệ thành phẩm tiên tiến nhất hiện nay với dạng cốm độc quyền từ Syngenta giúp tan nhanh không nghẹt béc. Không chỉ kiểm soát rầy nâu hiệu quả, Pexena® 20WG (Pexena Cốm) còn mang đến sự tiện lợi cho nông dân từ công nghệ thành phẩm dạng cốm.
Cơ chế tác động: là thuốc đầu tiên có tác động ức chế cơ quan thụ cảm Nicotinicacetylcholine (nAChR) làm rầy đờ đẫn, bất hoạt,bại liệt, chết sạch cả lứa rầy.
Ưu thế vượt trội: Hoạt chất trừ rầy nâu thế hệ tiên tiến nhất.
Dạng cốm ưu việt.
Rầy chết nhanh sau 30 phút.
Hiệu lực kéo dài 21 ngày.
Diệt nhanh rầy ấu trùng và trưởng thành (rầy gối lứa).
An toàn thiên địch"
25,Selecron® 500EC,"Lúa, cà phê, bông vải​",Thuốc trừ sâu,500g/L Profenofos.,"Lúa: Sâu cuốn lá, Rầy xanh.
Bông vải : Rệp, bọ trĩ, Nhện đỏ, Sâu khoang, Sâu xanh        
Cà phê: Rệp sáp","Lúa (Sâu cuốn lá) 0.5 L/ha. Lượng nước phun 400 – 800 L/ha. Phun khi sâu hại chớm xuất hiện.		
Lúa (Rầy xanh) 0.75 – 1.0 L/ha. Lượng nước phun 400 – 800 L/ha. Phun khi sâu hại chớm xuất hiện.		
Bông vải (Rệp, bọ trĩ) 1.0 – 1.5 L/ha. Lượng nước phun 400 – 800 L/ha. Phun khi sâu hại chớm xuất hiện.		
Bông vải (Nhện đỏ) 1.5 L/ha. Lượng nước phun 400 – 800 L/ha. Phun khi sâu hại chớm xuất hiện.		
Bông vải (Sâu khoang) 1.5 – 2.0 L/ha. Lượng nước phun 400 – 800 L/ha. Phun khi sâu hại chớm xuất hiện.		
Bông vải (Sâu xanh) 1.4 – 2.0 L/ha. Lượng nước phun 400 – 800 L/ha. Phun khi sâu hại chớm xuất hiện.		
Cà phê (Rệp sáp) 0.2 – 0.3%. Phun ướt đều cây trồng khi mật độ rệp khoảng 5-7 con/ chùm quả		","Selecron® 500EC là thuốc trừ sâu có khả năng tác động mạnh lên nhóm côn trùng cả nhai gặm lẫn chích hút, phổ tác dụng rộng diệt được nhiều sâu hại cùng lúc.
Ưu thế vượt trội:
Cơ chế chuyên biệt: tiếp xúc vị độc - xông hơi mạnh -> hiệu quả nhanh với hiệu lực kéo dài
Thành phẩm nhủ dầu đặc biệt: tiếp xúc - với cơ chế thấm sâu và chuyển vị mạnh trong cây trồng
Cung cấp lân hữu cơ cho cây trồng - giúp cây xanh bóng trái.
Thuốc nền lý tưởng để pha trộn
Giải pháp bảo vệ cơi đọt non hiệu quả"
26,Tervigo 020SC ,"Cam, khoai tây, thanh long, hồ tiêu, cà phê​",Thuốc trừ sâu,Abamectin + Phức chất hữu cơ chelate sắt.​,Tuyến trùng và tuyến trùng rễ,"Liều dùng 5-6 lít/ha.                
Tưới đất phòng tuyến trùng: 2 lần vào đầu và cuối mùa mưa.                
Tưới trị tuyến trùng bằng 2 lần xử lý liên tiếp cách nhau 20-25 ngày.                
Liều lượng sử dụng cụ thể tùy theo loại cây trồng:                
Trên sầu riêng: pha100ml Tervigo 020 SC + thuốc trừ nấm tưới cho 2-3 gốc ≥ 4 năm tuổivà 20ml Tervigo 020SC + thuốc trừ nấm tưới cho cây 4 năm tuổi.                
Trên thanh long: pha 250ml Tervigo + thuốc trừ nấm tưới 30-50 trụ tùy vào tuổi cây.                ","Giải pháp Tervigo 020SC kiểm soát tuyến trùng tối ưu, giúp mang trở lại bộ rễ khỏe, tạo các cơi đọt mới và sung sức trở lại.
Quy cách đóng gói: 500ml,100ml"
27,Virtako 40WG,"Lúa, ngô​",Thuốc trừ sâu,Chlorantraniliprole + Thiamethoxam​,"Sâu cuốn lá, sâu đục thân, rầy nâu, rầy lưng trắng, rệp​","Phun sớm cắt ngay lứa sâu đầu tiên, tránh bộc phát lứa sâu gối lứa.                
Cơ chế tác động chuyên biệt lên hệ cơ và hệ thần kinh của sâu hại → tránh hình thành tính kháng chéo.","Sản phẩm cho hiệu quả cao trong kiểm soát và cắt lứa sâu với cơ chế tác động độc đáo và khả năng lưu dẫn vượt trội.
Quy cách đóng gói: 1.5g, 3g, 4.5g
Ưu thế vượt trội                
Phun sớm cắt ngay lứa sâu đầu tiên, tránh bộc phát lứa sâu gối lứa.                
Cơ chế tác động chuyên biệt lên hệ cơ và hệ thần kinh của sâu hại → tránh hình thành tính kháng chéo.                
Đặc trị cả sâu cuốn lá và sâu đục thân.                
Sâu ngừng ăn sau 2 giờ nhiễm thuốc - Hiệu lực lưu dẫn mạnh mẻ kéo dài                
Thuốc có nguồn gốc thiên nhiên – an toàn con người thiên địch và môi trường.                "